0,stabilizer1 = IZXZXXXXXXXXXXXXXXXYYXZZZZZZZZZZZZZZZZYIIYZZZZZZZZZZZZZZZZYXYXXXXXXXXXXXXXXXZZXIIIIIIIIIIIIIIII,stabilizer2 = ZZXIIIIIIIIIIIIIIIIIZXZXXXXXXXXXXXXXXXYYXZZZZZZZZZZZZZZZZYIIYZZZZZZZZZZZZZZZZYXYXXXXXXXXXXXXXXX,stabilizer3 = ZYXYXXXXXXXXXXXXXXXZZXIIIIIIIIIIIIIIIIIZXZXXXXXXXXXXXXXXXYYXZZZZZZZZZZZZZZZZYIIYZZZZZZZZZZZZZZZ,stabilizer4 = YIIYZZZZZZZZZZZZZZZZYXYXXXXXXXXXXXXXXXZZXIIIIIIIIIIIIIIIIIZXZXXXXXXXXXXXXXXXYYXZZZZZZZZZZZZZZZZ,logical_z1 = YIIYZZZZZZZZZZZZZZZYIIYZZZZZZZZZZZZZZZYIIYZZZZZZZZZZZZZZZYIIYZZZZZZZZZZZZZZZYIIYZZZZZZZZZZZZZZZ,logical_x1 = ZIIZXXXXXXXXXXXXXXXZIIZXXXXXXXXXXXXXXXZIIZXXXXXXXXXXXXXXXZIIZXXXXXXXXXXXXXXXZIIZXXXXXXXXXXXXXXX
1,stabilizer1 = IZXZZZZZZZZZZZXXXXXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIXXXXXZZZZZZZZZZZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer3 = IZXZIIIIIXXXXXZZZZZZXIXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer4 = XXIZXXXXXIIIIIXXXXXZXIXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
2,stabilizer1 = IIIIIIIIIIIIIIIIIIIIZXZZZZZZZZZZZXXXXXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIIIIIXXXXXZZZZZZZZZZZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer3 = IIIIIIIIIIIIIIIIIIIIZXZIIIIIXXXXXZZZZZZXIXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer4 = IIIIIIIIIIIIIIIIIIIXXIZXXXXXIIIIIXXXXXZXIXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
3,stabilizer1 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZXZZZZZZZZZZZXXXXXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXXXXXZZZZZZZZZZZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer3 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZXZIIIIIXXXXXZZZZZZXIXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer4 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXXIZXXXXXIIIIIXXXXXZXIXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
4,stabilizer1 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZXZZZZZZZZZZZXXXXXIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXXXXXZZZZZZZZZZZZXIIIIIIIIIIIIIIII,stabilizer3 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZXZIIIIIXXXXXZZZZZZXIXIIIIIIIIIIIIIII,stabilizer4 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXXIZXXXXXIIIIIXXXXXZXIXIIIIIIIIIIIIIII
5,stabilizer1 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZXZZZZZZZZZZZXXXXX,stabilizer2 = ZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXXXXXZZZZZZZZZZ,stabilizer3 = ZXIXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZXZIIIIIXXXXXZZZZZ,stabilizer4 = ZXIXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXXIZXXXXXIIIIIXXXXX
6,stabilizer1 = XZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = ZYYZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
7,stabilizer1 = IIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer3 = IIIIXIXZZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer4 = IIIIZXIXZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
8,stabilizer1 = IIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer3 = IIIIIIIIIXIXZZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer4 = IIIIIIIIIZXIXZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
9,stabilizer1 = IIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer3 = IIIIIIIIIIIIIIXIXZZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer4 = IIIIIIIIIIIIIIZXIXZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
10,stabilizer1 = IIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIZYYZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
11,stabilizer1 = IIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer3 = IIIIIIIIIIIIIIIIIIIIIIIXIXZZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer4 = IIIIIIIIIIIIIIIIIIIIIIIZXIXZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
12,stabilizer1 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer3 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIXIXZZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer4 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIZXIXZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
